,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration,Type,MarketPrice
140,SPXW250527C06025000,2025-05-23 20:14:08+00:00,6025.0,0.1,0.05,0.15,-0.15,-60.000004,773.0,684,0.1626060302734375,False,REGULAR,USD,2025-05-27,call,0.1
141,SPXW250527C06030000,2025-05-23 20:00:30+00:00,6030.0,0.07,0.05,0.15,-0.23000002,-76.66667,672.0,759,0.16577982666015628,False,REGULAR,USD,2025-05-27,call,0.1
142,SPXW250527C06035000,2025-05-23 20:14:27+00:00,6035.0,0.07,0.05,0.15,-0.13,-65.0,149.0,629,0.16895362304687503,False,REGULAR,USD,2025-05-27,call,0.1
143,SPXW250527C06040000,2025-05-23 19:54:01+00:00,6040.0,0.1,0.05,0.15,-0.1,-50.0,182.0,406,0.17212741943359378,False,REGULAR,USD,2025-05-27,call,0.1
144,SPXW250527C06050000,2025-05-23 20:01:45+00:00,6050.0,0.1,0.05,0.15,-0.1,-50.0,1137.0,1992,0.17847501220703127,False,REGULAR,USD,2025-05-27,call,0.1
145,SPXW250527C06060000,2025-05-23 19:55:56+00:00,6060.0,0.07,0.05,0.15,-0.080000006,-53.333336,41.0,535,0.18457846679687498,False,REGULAR,USD,2025-05-27,call,0.1
146,SPXW250527C06070000,2025-05-23 19:22:24+00:00,6070.0,0.1,0.0,0.1,0.0,0.0,88.0,533,0.18311363769531247,False,REGULAR,USD,2025-05-27,call,0.05
147,SPXW250527C06075000,2025-05-23 19:46:44+00:00,6075.0,0.05,0.0,0.1,-0.10000001,-66.66667,122.0,643,0.1860432958984375,False,REGULAR,USD,2025-05-27,call,0.05
148,SPXW250527C06080000,2025-05-23 20:12:35+00:00,6080.0,0.05,0.0,0.1,-0.05,-50.0,123.0,670,0.1889729541015625,False,REGULAR,USD,2025-05-27,call,0.05
149,SPXW250527C06090000,2025-05-23 20:02:32+00:00,6090.0,0.05,0.0,0.1,-0.05,-50.0,88.0,464,0.1948322705078125,False,REGULAR,USD,2025-05-27,call,0.05
150,SPXW250527C06100000,2025-05-23 20:04:54+00:00,6100.0,0.05,0.0,0.1,-0.05,-50.0,850.0,2101,0.20093572509765623,False,REGULAR,USD,2025-05-27,call,0.05
151,SPXW250527C06125000,2025-05-23 18:56:59+00:00,6125.0,0.05,0.0,0.1,-0.040000003,-44.444447,318.0,858,0.215828154296875,False,REGULAR,USD,2025-05-27,call,0.05
152,SPXW250527C06150000,2025-05-23 20:11:54+00:00,6150.0,0.05,0.0,0.1,-0.02,-28.571426,220.0,868,0.2299881689453125,False,REGULAR,USD,2025-05-27,call,0.05
153,SPXW250527C06175000,2025-05-23 19:42:11+00:00,6175.0,0.05,0.0,0.1,0.0,0.0,54.0,753,0.24463645996093752,False,REGULAR,USD,2025-05-27,call,0.05
154,SPXW250527C06200000,2025-05-23 18:50:30+00:00,6200.0,0.1,0.0,0.0,0.0,0.0,385.0,2779,0.12500875,False,REGULAR,USD,2025-05-27,call,0.0
155,SPXW250527C06225000,2025-05-23 19:53:14+00:00,6225.0,0.05,0.0,0.0,0.0,0.0,30.0,133,0.12500875,False,REGULAR,USD,2025-05-27,call,0.0
156,SPXW250527C06250000,2025-05-23 17:11:29+00:00,6250.0,0.05,0.0,0.05,0.0,0.0,33.0,37,0.2695385546875,False,REGULAR,USD,2025-05-27,call,0.025
157,SPXW250527C06275000,2025-05-21 13:38:50+00:00,6275.0,0.03,0.0,0.05,-0.07,-70.0,2.0,209,0.28321029296874994,False,REGULAR,USD,2025-05-27,call,0.025
158,SPXW250527C06300000,2025-05-22 20:13:36+00:00,6300.0,0.05,0.0,0.05,0.0,0.0,1.0,69,0.295905478515625,False,REGULAR,USD,2025-05-27,call,0.025
159,SPXW250527C06400000,2025-05-21 15:12:25+00:00,6400.0,0.05,0.0,0.05,0.0,0.0,1.0,525,0.34766277343749996,False,REGULAR,USD,2025-05-27,call,0.025
160,SPXW250527C06600000,2025-05-22 15:50:36+00:00,6600.0,0.05,0.0,0.05,0.0,0.0,1.0,72,0.446294599609375,False,REGULAR,USD,2025-05-27,call,0.025
161,SPXW250527C06800000,2025-05-21 16:14:22+00:00,6800.0,0.05,0.0,0.05,0.0,0.0,20.0,52,0.5136767382812499,False,REGULAR,USD,2025-05-27,call,0.025
162,SPXW250527C07000000,2025-05-16 20:10:50+00:00,7000.0,0.05,0.0,0.05,0.0,0.0,25.0,28,0.6015664843750002,False,REGULAR,USD,2025-05-27,call,0.025
163,SPXW250527C07200000,2025-05-08 18:02:23+00:00,7200.0,0.15,0.0,0.05,0.0,0.0,,30,0.6835969140625001,False,REGULAR,USD,2025-05-27,call,0.025
248,SPXW250528C05805000,2025-05-23 20:06:17+00:00,5805.0,35.05,37.5,38.0,-36.750004,-51.18385,538.0,32,0.16121749435424804,False,REGULAR,USD,2025-05-28,call,37.75
249,SPXW250528C05810000,2025-05-23 20:13:54+00:00,5810.0,32.72,34.8,35.3,-52.57,-61.63677,385.0,38,0.15992813957214355,False,REGULAR,USD,2025-05-28,call,35.05
250,SPXW250528C05815000,2025-05-23 19:59:50+00:00,5815.0,33.0,32.2,32.7,-38.0,-53.521126,428.0,23,0.15862352615356445,False,REGULAR,USD,2025-05-28,call,32.45
251,SPXW250528C05820000,2025-05-23 19:58:12+00:00,5820.0,32.81,29.8,30.3,-35.889996,-52.241623,408.0,62,0.15770800796508788,False,REGULAR,USD,2025-05-28,call,30.05
252,SPXW250528C05825000,2025-05-23 20:08:21+00:00,5825.0,25.68,27.5,27.9,-29.82,-53.729733,606.0,112,0.1563423600006104,False,REGULAR,USD,2025-05-28,call,27.7
253,SPXW250528C05830000,2025-05-23 20:02:31+00:00,5830.0,24.37,25.2,25.7,-45.589996,-65.1658,446.0,37,0.15537343658447267,False,REGULAR,USD,2025-05-28,call,25.45
254,SPXW250528C05835000,2025-05-23 19:55:14+00:00,5835.0,22.48,23.2,23.6,-44.820004,-66.59733,162.0,41,0.15436636657714847,False,REGULAR,USD,2025-05-28,call,23.4
255,SPXW250528C05840000,2025-05-23 20:09:45+00:00,5840.0,19.51,21.2,21.6,-26.74,-57.81621,217.0,54,0.15332114997863772,False,REGULAR,USD,2025-05-28,call,21.4
256,SPXW250528C05845000,2025-05-23 20:02:31+00:00,5845.0,18.62,19.3,19.7,-24.44,-56.75801,429.0,83,0.15224541610717773,False,REGULAR,USD,2025-05-28,call,19.5
257,SPXW250528C05850000,2025-05-23 20:14:39+00:00,5850.0,16.8,17.6,18.0,-24.41,-59.233196,1043.0,629,0.15159692405700684,False,REGULAR,USD,2025-05-28,call,17.8
258,SPXW250528C05855000,2025-05-23 20:00:58+00:00,5855.0,16.31,15.9,16.4,-21.500002,-56.863266,217.0,134,0.150948432006836,False,REGULAR,USD,2025-05-28,call,16.15
259,SPXW250528C05860000,2025-05-23 20:14:31+00:00,5860.0,13.62,14.4,14.8,-21.380001,-61.08572,765.0,408,0.14978877563476564,False,REGULAR,USD,2025-05-28,call,14.600000000000001
260,SPXW250528C05865000,2025-05-23 20:02:35+00:00,5865.0,12.55,13.0,13.4,-21.75,-63.41108,179.0,96,0.1491326542663574,False,REGULAR,USD,2025-05-28,call,13.2
261,SPXW250528C05870000,2025-05-23 20:11:44+00:00,5870.0,10.76,11.7,12.1,-19.99,-65.008125,566.0,116,0.14849942085266113,False,REGULAR,USD,2025-05-28,call,11.899999999999999
262,SPXW250528C05875000,2025-05-23 20:08:21+00:00,5875.0,9.75,10.5,10.9,-19.25,-66.37931,1235.0,186,0.1479119633483887,False,REGULAR,USD,2025-05-28,call,10.7
263,SPXW250528C05880000,2025-05-23 20:09:45+00:00,5880.0,8.6,9.4,9.8,-17.0,-66.40625,521.0,68,0.14739316970825195,False,REGULAR,USD,2025-05-28,call,9.600000000000001
264,SPXW250528C05885000,2025-05-23 20:13:47+00:00,5885.0,7.9,8.4,8.8,-16.45,-67.55647,235.0,92,0.1469659278869629,False,REGULAR,USD,2025-05-28,call,8.600000000000001
265,SPXW250528C05890000,2025-05-23 20:11:44+00:00,5890.0,6.87,7.5,7.8,-15.429999,-69.192825,288.0,95,0.1460198924255371,False,REGULAR,USD,2025-05-28,call,7.65
266,SPXW250528C05895000,2025-05-23 20:10:54+00:00,5895.0,6.1,6.6,7.0,-14.02,-69.68191,244.0,67,0.1458825646972656,False,REGULAR,USD,2025-05-28,call,6.8
267,SPXW250528C05900000,2025-05-23 20:14:55+00:00,5900.0,5.63,5.9,6.1,-13.87,-71.128204,1850.0,1365,0.14450928741455077,False,REGULAR,USD,2025-05-28,call,6.0
268,SPXW250528C05905000,2025-05-23 20:11:36+00:00,5905.0,4.77,5.2,5.4,-12.83,-72.89773,248.0,95,0.14405152832031248,False,REGULAR,USD,2025-05-28,call,5.300000000000001
269,SPXW250528C05910000,2025-05-23 20:14:55+00:00,5910.0,4.38,4.6,4.8,-10.22,-70.0,324.0,119,0.1438989419555664,False,REGULAR,USD,2025-05-28,call,4.699999999999999
270,SPXW250528C05915000,2025-05-23 20:09:23+00:00,5915.0,3.7,4.0,4.2,-10.47,-73.8885,140.0,201,0.1432275619506836,False,REGULAR,USD,2025-05-28,call,4.1
271,SPXW250528C05920000,2025-05-23 20:11:12+00:00,5920.0,3.2,3.5,3.7,-9.820001,-75.42243,696.0,405,0.14296816513061522,False,REGULAR,USD,2025-05-28,call,3.6
272,SPXW250528C05925000,2025-05-23 20:09:15+00:00,5925.0,2.77,3.1,3.2,-8.700001,-75.850044,716.0,752,0.14215945739746094,False,REGULAR,USD,2025-05-28,call,3.1500000000000004
273,SPXW250528C05930000,2025-05-23 20:09:30+00:00,5930.0,2.41,2.7,2.8,-7.99,-76.82693,319.0,302,0.14191531921386719,False,REGULAR,USD,2025-05-28,call,2.75
274,SPXW250528C05935000,2025-05-23 20:06:10+00:00,5935.0,2.12,2.35,2.45,-7.4000006,-77.731094,143.0,111,0.14173221557617188,False,REGULAR,USD,2025-05-28,call,2.4000000000000004
275,SPXW250528C05940000,2025-05-23 20:09:21+00:00,5940.0,1.85,2.05,2.15,-6.5499997,-77.97619,150.0,234,0.1417627328491211,False,REGULAR,USD,2025-05-28,call,2.0999999999999996
276,SPXW250528C05945000,2025-05-23 20:05:09+00:00,5945.0,1.6,1.75,1.85,-5.7000003,-78.08219,162.0,249,0.1412744564819336,False,REGULAR,USD,2025-05-28,call,1.8
277,SPXW250528C05950000,2025-05-23 20:13:02+00:00,5950.0,1.4,1.55,1.6,-5.25,-78.947365,827.0,1688,0.14103031829833984,False,REGULAR,USD,2025-05-28,call,1.5750000000000002
278,SPXW250528C05955000,2025-05-23 20:07:20+00:00,5955.0,1.2,1.3,1.4,-4.75,-79.83193,228.0,160,0.14118290466308597,False,REGULAR,USD,2025-05-28,call,1.35
279,SPXW250528C05960000,2025-05-23 20:10:45+00:00,5960.0,1.0,1.15,1.2,-4.47,-81.71846,642.0,522,0.14087773193359376,False,REGULAR,USD,2025-05-28,call,1.1749999999999998
280,SPXW250528C05970000,2025-05-23 20:11:27+00:00,5970.0,0.75,0.85,0.9,-2.92,-79.56403,169.0,206,0.14093876647949222,False,REGULAR,USD,2025-05-28,call,0.875
281,SPXW250528C05975000,2025-05-23 20:09:30+00:00,5975.0,0.6,0.7,0.8,-3.1100001,-83.8275,924.0,541,0.14167118103027343,False,REGULAR,USD,2025-05-28,call,0.75
282,SPXW250528C05980000,2025-05-23 20:06:23+00:00,5980.0,0.54,0.6,0.7,-2.72,-83.435585,506.0,631,0.14203738830566404,False,REGULAR,USD,2025-05-28,call,0.6499999999999999
283,SPXW250528C05985000,2025-05-23 20:06:23+00:00,5985.0,0.44,0.55,0.6,-2.23,-83.5206,204.0,145,0.14203738830566404,False,REGULAR,USD,2025-05-28,call,0.575
284,SPXW250528C05990000,2025-05-23 19:59:55+00:00,5990.0,0.35,0.45,0.55,-1.9,-84.44444,362.0,160,0.14344118286132812,False,REGULAR,USD,2025-05-28,call,0.5
285,SPXW250528C05995000,2025-05-23 20:05:34+00:00,5995.0,0.35,0.4,0.5,-1.7499999,-83.33333,87.0,97,0.14466187377929687,False,REGULAR,USD,2025-05-28,call,0.45
286,SPXW250528C06000000,2025-05-23 20:13:58+00:00,6000.0,0.35,0.35,0.45,-1.35,-79.411766,438.0,880,0.14563842651367187,False,REGULAR,USD,2025-05-28,call,0.4
287,SPXW250528C06005000,2025-05-23 20:09:00+00:00,6005.0,0.27,0.3,0.4,-1.23,-82.0,116.0,208,0.1463708410644531,False,REGULAR,USD,2025-05-28,call,0.35
288,SPXW250528C06010000,2025-05-23 20:11:51+00:00,6010.0,0.25,0.25,0.35,-1.05,-80.769226,93.0,123,0.14685911743164062,False,REGULAR,USD,2025-05-28,call,0.3
289,SPXW250528C06015000,2025-05-23 20:12:05+00:00,6015.0,0.25,0.25,0.35,-0.85,-77.27273,121.0,203,0.14978877563476564,False,REGULAR,USD,2025-05-28,call,0.3
290,SPXW250528C06020000,2025-05-23 20:11:49+00:00,6020.0,0.2,0.2,0.3,-0.75,-78.94737,128.0,272,0.14991084472656252,False,REGULAR,USD,2025-05-28,call,0.25
291,SPXW250528C06025000,2025-05-23 20:04:08+00:00,6025.0,0.17,0.2,0.3,-0.68,-80.0,52.0,882,0.15284050292968754,False,REGULAR,USD,2025-05-28,call,0.25
292,SPXW250528C06030000,2025-05-23 20:04:54+00:00,6030.0,0.15,0.15,0.3,-0.6,-80.0,80.0,191,0.1557701611328125,False,REGULAR,USD,2025-05-28,call,0.22499999999999998
293,SPXW250528C06035000,2025-05-23 20:14:57+00:00,6035.0,0.2,0.15,0.25,-0.40000004,-66.66667,55.0,121,0.15515981567382814,False,REGULAR,USD,2025-05-28,call,0.2
294,SPXW250528C06040000,2025-05-23 20:14:53+00:00,6040.0,0.15,0.15,0.25,-0.42,-73.68421,64.0,369,0.15808947387695313,False,REGULAR,USD,2025-05-28,call,0.2
295,SPXW250528C06050000,2025-05-23 19:59:55+00:00,6050.0,0.1,0.1,0.25,-0.3,-75.0,134.0,1933,0.1638267211914063,False,REGULAR,USD,2025-05-28,call,0.175
296,SPXW250528C06060000,2025-05-23 20:05:00+00:00,6060.0,0.1,0.1,0.2,-0.15,-60.000004,154.0,567,0.165047412109375,False,REGULAR,USD,2025-05-28,call,0.15000000000000002
297,SPXW250528C06070000,2025-05-23 20:04:54+00:00,6070.0,0.1,0.1,0.2,-0.1,-50.0,96.0,211,0.1706625903320313,False,REGULAR,USD,2025-05-28,call,0.15000000000000002
298,SPXW250528C06075000,2025-05-23 20:06:11+00:00,6075.0,0.1,0.1,0.2,-0.050000004,-33.333336,49.0,516,0.1733481103515625,False,REGULAR,USD,2025-05-28,call,0.15000000000000002
299,SPXW250528C06080000,2025-05-23 20:06:13+00:00,6080.0,0.1,0.05,0.2,-0.1,-50.0,37.0,270,0.17615569946289064,False,REGULAR,USD,2025-05-28,call,0.125
300,SPXW250528C06090000,2025-05-23 20:07:03+00:00,6090.0,0.1,0.05,0.2,-0.050000004,-33.333336,113.0,171,0.18164880859375,False,REGULAR,USD,2025-05-28,call,0.125
301,SPXW250528C06100000,2025-05-23 19:25:52+00:00,6100.0,0.14,0.05,0.15,0.04,39.999996,1203.0,1122,0.18140467041015623,False,REGULAR,USD,2025-05-28,call,0.1
302,SPXW250528C06125000,2025-05-23 20:11:44+00:00,6125.0,0.1,0.05,0.15,-0.1,-50.0,11.0,742,0.19458813232421873,False,REGULAR,USD,2025-05-28,call,0.1
303,SPXW250528C06150000,2025-05-22 15:50:04+00:00,6150.0,0.06,0.0,0.15,-0.06999999,-53.84615,3.0,686,0.20752745605468748,False,REGULAR,USD,2025-05-28,call,0.075
304,SPXW250528C06175000,2025-05-23 20:06:07+00:00,6175.0,0.05,0.0,0.15,-0.05,-50.0,14.0,319,0.22046677978515622,False,REGULAR,USD,2025-05-28,call,0.075
305,SPXW250528C06200000,2025-05-23 17:33:36+00:00,6200.0,0.1,0.0,0.1,0.05,100.0,9.0,682,0.22412885253906245,False,REGULAR,USD,2025-05-28,call,0.05
306,SPXW250528C06225000,2025-05-21 18:06:08+00:00,6225.0,0.1,0.0,0.1,-0.050000004,-33.333336,25.0,195,0.23633576171874998,False,REGULAR,USD,2025-05-28,call,0.05
307,SPXW250528C06250000,2025-05-21 17:53:10+00:00,6250.0,0.15,0.0,0.1,0.0,0.0,3.0,102,0.2485426708984375,False,REGULAR,USD,2025-05-28,call,0.05
308,SPXW250528C06300000,2025-05-21 17:43:12+00:00,6300.0,0.05,0.0,0.1,0.0,0.0,1.0,19,0.27246821289062495,False,REGULAR,USD,2025-05-28,call,0.05
309,SPXW250528C06400000,2025-05-20 18:35:37+00:00,6400.0,0.1,0.0,0.1,0.0,0.0,1.0,22,0.3193427441406249,False,REGULAR,USD,2025-05-28,call,0.05
310,SPXW250528C06600000,2025-05-15 13:56:56+00:00,6600.0,0.05,0.0,0.1,-0.06999999,-58.333332,1.0,10,0.40918559570312496,False,REGULAR,USD,2025-05-28,call,0.05
311,SPXW250528C06800000,2025-05-13 00:28:50+00:00,6800.0,0.25,0.0,0.1,0.0,0.0,,1,0.495122236328125,False,REGULAR,USD,2025-05-28,call,0.05
312,SPXW250528C07000000,2025-05-14 13:30:09+00:00,7000.0,0.05,0.0,0.05,0.0,0.0,10.0,11,0.5195360546875,False,REGULAR,USD,2025-05-28,call,0.025
313,SPXW250528C07200000,2025-05-12 17:23:28+00:00,7200.0,0.1,0.0,0.1,0.0,0.0,1.0,2,0.6210975390625001,False,REGULAR,USD,2025-05-28,call,0.05
380,SPXW250529C05805000,2025-05-23 19:58:18+00:00,5805.0,54.0,49.9,50.4,-37.699997,-41.11232,61.0,39,0.18996476547241214,False,REGULAR,USD,2025-05-29,call,50.15
381,SPXW250529C05810000,2025-05-23 17:44:59+00:00,5810.0,54.0,47.2,47.7,-37.260002,-40.828403,208.0,12,0.18887377296447752,False,REGULAR,USD,2025-05-29,call,47.45
382,SPXW250529C05820000,2025-05-23 19:58:18+00:00,5820.0,45.78,42.0,42.6,-23.620003,-34.034584,185.0,26,0.18693592613220214,False,REGULAR,USD,2025-05-29,call,42.3
383,SPXW250529C05825000,2025-05-23 20:13:17+00:00,5825.0,37.75,39.5,40.1,-28.949997,-43.403294,131.0,48,0.18570760589599605,False,REGULAR,USD,2025-05-29,call,39.8
384,SPXW250529C05830000,2025-05-23 20:02:56+00:00,5830.0,36.29,37.2,37.7,-42.909996,-54.179295,74.0,25,0.18454794952392578,False,REGULAR,USD,2025-05-29,call,37.45
385,SPXW250529C05835000,2025-05-23 20:13:17+00:00,5835.0,33.25,34.9,35.4,-32.86,-49.705036,56.0,81,0.1834493276977539,False,REGULAR,USD,2025-05-29,call,35.15
386,SPXW250529C05840000,2025-05-23 20:06:39+00:00,5840.0,31.2,32.7,33.3,-31.91,-50.562508,36.0,53,0.1828084649658203,False,REGULAR,USD,2025-05-29,call,33.0
